org_name,slots
"KDE
",46
"Apache Software Foundation
",39
"Python Software Foundation
",31
"GNOME
",20
"Drupal
",18
"Gentoo Foundation
",16
"The FreeBSD Project
",16
"The Honeynet Project
",16
"The GNU Project
",14
"VideoLAN
",14
"OpenMRS
",13
"WordPress
",13
"Berkman Center at Harvard University
",11
"The Globus Alliance
",11
"The Linux Foundation
",11
"Blender Foundation
",10
"GCC, the GNU Compiler Collection
",10
"Mozilla
",10
"Sahana Software Foundation
",10
"Boost C++ Libraries
",9
"Maemo Community
",9
"Ubuntu
",9
"Chromium
",8
"Debian Project
",8
"European Smalltalk User Group (ESUG)
",8
"Nmap Security Scanner
",8
"Open Source Computer Vision Library
",8
"RTEMS Project
",8
"Scilab Consortium/Digiteo Foundation
",8
"The Java Pathfinder Team
",8
"The Perl Foundation
",8
"Battle for Wesnoth
",7
"Drizzle
",7
"FFmpeg
",7
"International GeoGebra Institute
",7
"Tcl/Tk Community
",7
"The Eclipse Foundation 
",7
"BeagleBoard.org
",6
"Crystal Space
",6
"Facebook
",6
"Go OpenOffice
",6
"haskell.org
",6
"Hugin and panotools
",6
"OpenStreetMap
",6
"phpMyAdmin
",6
"SIP Communicator
",6
"Systers: Women in Computing
",6
"The NetBSD Foundation
",6
"Tux4Kids
",6
"Wikimedia Foundation
",6
"YafaRay (Yet Another Free Raytracer)
",6
"coreboot
",5
"Dreamwidth Studios
",5
"Gephi NGO
",5
"Grameen Foundation
",5
"GStreamer
",5
"Haiku
",5
"Inclusive Design Institute
",5
"LLVM Compiler Infrastructure
",5
"Natural User Interface Group (NUI Group)
",5
"NESCent - National Evolutionary Synthesis Center
",5
"Open Bioinformatics Foundation
",5
"OpenAFS
",5
"Plan 9 from Bell Labs
",5
"Portland State University
",5
"PostgreSQL
",5
"Simple DirectMedia Layer
",5
"StatusNet
",5
"The Codehaus
",5
"The Tor Project/Electronic Frontier Foundation
",5
"TYPO3 Association
",5
"wxWidgets
",5
"X.Org
",5
"ASCEND
",4
"BlueZ
",4
"CGAL - Computational Geometry Algorithms Library
",4
"DocBook Project
",4
"DuraSpace
",4
"European Space Agency, The Advanced Concepts Team
",4
"Geeklog
",4
"GenMAPP, Cytoscape, WikiPathways & Reactome
",4
"Melange
",4
"MINIX 3 Group at the VU
",4
"OAR
",4
"OpenNebula
",4
"Pardus
",4
"Plone Foundation
",4
"QEMU development team
",4
"ScummVM
",4
"SharpDevelop
",4
"Sunlight Labs
",4
"Tahoe-LAFS
",4
"The Asterisk Project
",4
"The Mono Project
",4
"The ns-3 Network Simulator Project
",4
"The Wine Project
",4
"XMMS2
",4
"XMPP Standards Foundation
",4
"AbiWord
",3
"Apertium
",3
"Creative Commons
",3
"Dojo Foundation 
",3
"DragonFly BSD
",3
"Etherboot Project
",3
"FreedroidRPG
",3
"Git
",3
"Jikes RVM
",3
"LimeSurvey
",3
"MetaBrainz Foundation Inc.
",3
"Mixxx Digital DJ
",3
"OMII-UK
",3
"OpenInkpot project
",3
"Pidgin, Finch and libpurple
",3
"PLSE at UW
",3
"Princeton Center for Information Technology Policy
",3
"R Project for Statistical Computing
",3
"Review Board
",3
"Rockbox
",3
"Sakai Foundation
",3
"Samba
",3
"Sugar Labs
",3
"The MacPorts Project
",3
"Thousand Parsec
",3
"Ushahidi
",3
"WorldForge
",3
"xen.org
",3
"BigBlueButton
",2
"Django Software Foundation
",2
"Expert Labs
",2
"Freenet Project Inc
",2
"Freifunk
",2
"GNU Image Manipulation Program - GIMP
",2
"Google Open Source Programs Office
",2
"Inkscape
",2
"Kernel.org - the Linux Kernel Organization
",2
"LXDE Project
",2
"Mapnik
",2
"Marine Biological Laboratory Biodiversity Informatics Group-Encyclopedia of Life Project
",2
"Mercurial Distributed Version Control System
",2
"MoinMoin Wiki
",2
"OPeNDAP, Inc.
",2
"Opticks
",2
"Oregon State University Open Source Lab
",2
"Puppet (Reductive Labs)
",2
"Selenium
",2
"The NTP Forum
",2
"Google Caja
",1
"OpenICC
",1
"OpenImageIO
",1
"OSGeo - Open Source Geospatial Foundation
",1
